city,date_time,temp,humidity,weather_description,wind_speed
Tokyo,2024-12-08 15:00:00,7.98,34,clear sky,9.42
Tokyo,2024-12-08 18:00:00,7.43,34,clear sky,7.74
Tokyo,2024-12-08 21:00:00,6.47,40,clear sky,4.52
Tokyo,2024-12-09 00:00:00,7.26,34,clear sky,2.75
Tokyo,2024-12-09 03:00:00,9.44,33,scattered clouds,2.63
Tokyo,2024-12-09 06:00:00,10.54,50,few clouds,3.22
Tokyo,2024-12-09 09:00:00,10.63,51,few clouds,1.11
Tokyo,2024-12-09 12:00:00,9.97,37,few clouds,2.22
Tokyo,2024-12-09 15:00:00,8.49,39,scattered clouds,3.96
Tokyo,2024-12-09 18:00:00,7.88,39,broken clouds,4.92
Tokyo,2024-12-09 21:00:00,7.14,43,broken clouds,3.9
Tokyo,2024-12-10 00:00:00,7.86,42,scattered clouds,4.3
Tokyo,2024-12-10 03:00:00,10.4,33,clear sky,2.95
Tokyo,2024-12-10 06:00:00,11.81,28,clear sky,2.33
Tokyo,2024-12-10 09:00:00,11.59,28,clear sky,1.03
Tokyo,2024-12-10 12:00:00,10.67,31,clear sky,1.01
Tokyo,2024-12-10 15:00:00,9.5,38,clear sky,1.92
Tokyo,2024-12-10 18:00:00,8.63,43,scattered clouds,1.75
Tokyo,2024-12-10 21:00:00,8.2,43,overcast clouds,1.4
Tokyo,2024-12-11 00:00:00,8.76,40,overcast clouds,0.96
Tokyo,2024-12-11 03:00:00,10.74,38,overcast clouds,0.82
Tokyo,2024-12-11 06:00:00,12.56,41,overcast clouds,2.08
Tokyo,2024-12-11 09:00:00,12.25,41,overcast clouds,1.05
Tokyo,2024-12-11 12:00:00,10.93,38,overcast clouds,1.89
Tokyo,2024-12-11 15:00:00,9.79,43,clear sky,3.89
Tokyo,2024-12-11 18:00:00,9.04,45,clear sky,9.05
Tokyo,2024-12-11 21:00:00,8.19,38,clear sky,8.08
Tokyo,2024-12-12 00:00:00,8.41,34,scattered clouds,6.58
Tokyo,2024-12-12 03:00:00,9.53,28,overcast clouds,4.83
Tokyo,2024-12-12 06:00:00,10.82,22,overcast clouds,5.34
Tokyo,2024-12-12 09:00:00,9.51,24,overcast clouds,6.45
Tokyo,2024-12-12 12:00:00,8.17,34,overcast clouds,6.79
Tokyo,2024-12-12 15:00:00,7.4,38,broken clouds,4.92
Mumbai,2024-12-07 18:00:00,27.0,32,few clouds,4.16
Mumbai,2024-12-07 21:00:00,26.6,36,scattered clouds,4.36
Mumbai,2024-12-08 00:00:00,25.62,39,broken clouds,3.48
Mumbai,2024-12-08 03:00:00,24.79,42,overcast clouds,3.14
Mumbai,2024-12-08 06:00:00,27.46,31,overcast clouds,2.77
Mumbai,2024-12-08 09:00:00,27.5,40,broken clouds,5.44
Mumbai,2024-12-08 12:00:00,26.52,45,broken clouds,5.49
Mumbai,2024-12-08 15:00:00,26.26,47,overcast clouds,5.22
Mumbai,2024-12-08 18:00:00,25.32,44,overcast clouds,3.37
Mumbai,2024-12-08 21:00:00,24.38,41,overcast clouds,2.32
Mumbai,2024-12-09 00:00:00,23.37,44,overcast clouds,3.31
Mumbai,2024-12-09 03:00:00,23.2,43,scattered clouds,3.81
Mumbai,2024-12-09 06:00:00,26.67,32,broken clouds,3.72
Mumbai,2024-12-09 09:00:00,28.63,38,broken clouds,5.35
Mumbai,2024-12-09 12:00:00,28.14,41,broken clouds,7.44
Mumbai,2024-12-09 15:00:00,26.74,43,overcast clouds,6.2
Mumbai,2024-12-09 18:00:00,25.06,36,broken clouds,3.74
Mumbai,2024-12-09 21:00:00,24.25,37,broken clouds,2.93
Mumbai,2024-12-10 00:00:00,23.74,36,broken clouds,3.52
Mumbai,2024-12-10 03:00:00,23.85,36,scattered clouds,3.76
Mumbai,2024-12-10 06:00:00,26.91,33,broken clouds,2.45
Mumbai,2024-12-10 09:00:00,28.39,36,broken clouds,3.02
Mumbai,2024-12-10 12:00:00,26.94,49,broken clouds,5.48
Mumbai,2024-12-10 15:00:00,27.13,54,broken clouds,4.96
Mumbai,2024-12-10 18:00:00,26.49,54,scattered clouds,1.8
Mumbai,2024-12-10 21:00:00,25.82,50,broken clouds,2.51
